DATE,EPOCHDATE,TYPE,TITLE,EDGARURL,EXHIBITS_8-K,EXHIBITS_EX-99.1,EXHIBITS_EXCEL,MAXAGE,EXHIBITS_8-K/A,EXHIBITS_DEFA14A,EXHIBITS_EX-10.2,EXHIBITS_EX-31.1,EXHIBITS_EX-31.2,EXHIBITS_EX-32.1,EXHIBITS_EX-32.2,EXHIBITS_10-Q,EXHIBITS_SD,EXHIBITS_EX-1.01,EXHIBITS_EX-1.1,EXHIBITS_EX-5.1,EXHIBITS_EX-10.1,EXHIBITS_10-K/A,EXHIBITS_EX-21.1,EXHIBITS_EX-23.1,EXHIBITS_EX-97.1,EXHIBITS_10-K,EXHIBITS_CORRESP,EXHIBITS_SC 13D/A,EXHIBITS_DEF 14A,EXHIBITS_EX-10.14,EXHIBITS_EX-10.15,EXHIBITS_SC 13G/A,EXHIBITS_S-8,EXHIBITS_EX-FILING FEES,EXHIBITS_EX-3.1,EXHIBITS_PRE 14A,EXHIBITS_EX-99.A,EXHIBITS_EX-99.B
2022-05-16,1652659200,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-22-000048_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638022000048/gme-20220512.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638022000048/a991-pressreleasenirpatel.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638022000048/Financial_Report.xlsx,1,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638022000048/a101-letteragreementdatedm.htm,,,,,,,,,,,,,,,,,
2022-04-21,1650499200,DEFA14A,Proxy Statements,https://finance.yahoo.com/sec-filing/GME/0001193125-22-113182_1326380,,,,1,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312522113182/d286356ddefa14a.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-11,1649635200,PRE 14A,Proxy Statements,https://finance.yahoo.com/sec-filing/GME/0001193125-22-101866_1326380,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312522101866/d286356dpre14a.htm,,
2022-03-31,1648684800,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-22-000038_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638022000038/gme-20220331.htm,,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638022000038/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22,1647907200,SC 13D/A,Tender Offer/Acquisition Reports,https://finance.yahoo.com/sec-filing/GME/0000921895-22-000946_1326380,,,,1,,,,,,,,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001822844/000092189522000946/sc13da612128005_03222022.htm,,,,,,,,,,
2022-03-17,1647475200,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-22-000022_1326380,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638022000022/gme-20220317.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000132638022000022/a991q4fy21earningsrelease.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638022000022/Financial_Report.xlsx,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-14,1644796800,SC 13G/A,Tender Offer/Acquisition Reports,https://finance.yahoo.com/sec-filing/GME/0001193125-22-042029_1326380,,,,1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312522042029/d254393dsc13ga.htm,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312522042029/d254393dex99a.htm,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000119312522042029/d254393dex99b.htm
2022-02-10,1644451200,SC 13G/A,Tender Offer/Acquisition Reports,https://finance.yahoo.com/sec-filing/GME/0001104659-22-017613_1326380,,,,1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000110465922017613/tv0960-gamestopcorpclassa.htm,,,,,,
2022-02-09,1644364800,SC 13G/A,Tender Offer/Acquisition Reports,https://finance.yahoo.com/sec-filing/GME/0000902664-22-001301_1326380,,,,1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001328785/000090266422001301/p22-0643sc13ga.htm,,,,,,
2022-02-08,1644278400,SC 13G/A,Tender Offer/Acquisition Reports,https://finance.yahoo.com/sec-filing/GME/0000354204-22-001549_1326380,,,,1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/0001326380/000035420422001549/SEC13G_Filing.htm,,,,,,
2022-02-03,1643846400,8-K,Corporate Changes & Voting Matters,https://finance.yahoo.com/sec-filing/GME/0001326380-22-000012_1326380,https://cdn.yahoofinance.com/prod/sec-filings/1326380/000132638022000012/gme-20220128.htm,https://cdn.yahoofinance.com/prod/sec-filings/1326380/000132638022000012/a991-partnershipannounceme.htm,https://s3.amazonaws.com/finance-pri-uw2/sec-filings/0001326380/000132638022000012/Financial_Report.xlsx,1,,,https://cdn.yahoofinance.com/prod/sec-filings/1326380/000132638022000012/a102-grantagreement.htm,,,,,,,,,,https://cdn.yahoofinance.com/prod/sec-filings/1326380/000132638022000012/a101-protocolservicesandli.htm,,,,,,,,,,,,,,,,,
2022-02-01,1643673600,SC 13G/A,Tender Offer/Acquisition Reports,https://finance.yahoo.com/sec-filing/GME/0000834237-22-004089_1326380,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
