SETTLEMENT_DATE,CUSIP,SYMBOL,QUANTITY_FAILS,DESCRIPTION,PRICE
20160113,922908652,VXF,1.0,VANGUARD EXTENDED MARKET ETF,77.48
20160113,922908769,VTI,4508.0,VANGUARD TOTAL STOCK MARKET ET,98.58
20160114,36467W109,GME,386.0,GAMESTOP CORP (HLDG CO) CL A,26.94
20160114,464287507,IJH,18610.0,ISHARES CORE S&P MID-CAP ETF,127.08
20160114,464287622,IWB,516.0,ISHARES RUSSELL 1000 INDEX ETF,104.60
20160114,464287655,IWM,230689.0,ISHARES RUSSELL 2000 ETF,100.38
20160114,78464A714,XRT,825740.0,SPDR SERIES TR SPDR S&P RETAIL,40.08
20160114,808524763,FNDA,64367.0,SCHWAB FUNDAMENTAL U S SMALL C,25.25
20160114,922908611,VBR,42966.0,VANGUARD SMALL-CAP VALUE ETF,89.64
20160114,922908652,VXF,1297.0,VANGUARD EXTENDED MARKET ETF,75.09
20160114,922908769,VTI,80943.0,VANGUARD TOTAL STOCK MARKET ET,96.07
20160115,36467W109,GME,246.0,GAMESTOP CORP (HLDG CO) CL A,25.58
20160115,464287507,IJH,418.0,ISHARES CORE S&P MID-CAP ETF,128.57
20160115,464287622,IWB,124095.0,ISHARES RUSSELL 1000 INDEX ETF,106.24
20160115,464287655,IWM,17457.0,ISHARES RUSSELL 2000 ETF,101.72
20160115,78464A714,XRT,211794.0,SPDR SERIES TR SPDR S&P RETAIL,40.17
20160115,808524763,FNDA,95767.0,SCHWAB FUNDAMENTAL U S SMALL C,25.53
20160115,922908611,VBR,63763.0,VANGUARD SMALL-CAP VALUE ETF,90.71
20160115,922908652,VXF,3278.0,VANGUARD EXTENDED MARKET ETF,76.00
20160115,922908769,VTI,2812.0,VANGUARD TOTAL STOCK MARKET ET,97.51
20160119,36467W109,GME,3612.0,GAMESTOP CORP (HLDG CO) CL A,25.64
20160119,464287507,IJH,537.0,ISHARES CORE S&P MID-CAP ETF,126.71
20160119,464287622,IWB,70937.0,ISHARES RUSSELL 1000 INDEX ETF,103.98
20160119,464287655,IWM,3477651.0,ISHARES RUSSELL 2000 ETF,100.08
20160119,78464A714,XRT,349540.0,SPDR SERIES TR SPDR S&P RETAIL,39.41
20160119,808524763,FNDA,80639.0,SCHWAB FUNDAMENTAL U S SMALL C,25.10
20160119,922908611,VBR,86320.0,VANGUARD SMALL-CAP VALUE ETF,89.19
20160119,922908769,VTI,1583.0,VANGUARD TOTAL STOCK MARKET ET,95.46
20160120,36467W109,GME,336.0,GAMESTOP CORP (HLDG CO) CL A,25.51
20160120,464287507,IJH,3544.0,ISHARES CORE S&P MID-CAP ETF,126.04
20160120,464287622,IWB,168918.0,ISHARES RUSSELL 1000 INDEX ETF,104.00
20160120,464287655,IWM,4150261.0,ISHARES RUSSELL 2000 ETF,98.80
20160120,78464A714,XRT,5581.0,SPDR SERIES TR SPDR S&P RETAIL,39.09
20160120,808524763,FNDA,46171.0,SCHWAB FUNDAMENTAL U S SMALL C,24.87
20160120,922908611,VBR,69211.0,VANGUARD SMALL-CAP VALUE ETF,88.39
20160120,922908652,VXF,1.0,VANGUARD EXTENDED MARKET ETF,73.79
20160120,922908769,VTI,674.0,VANGUARD TOTAL STOCK MARKET ET,95.36
20160121,36467W109,GME,29183.0,GAMESTOP CORP (HLDG CO) CL A,25.19
20160121,464287507,IJH,355.0,ISHARES CORE S&P MID-CAP ETF,125.16
20160121,464287622,IWB,19671.0,ISHARES RUSSELL 1000 INDEX ETF,102.83
